run	randomSeed	numHumans	numZombies	numHunters	gestationPeriod
1	-1537575591	10	1	1	5
3	-1537574044	10	1	1	50
5	-1537567746	10	1	5	10
7	-1537567590	10	1	10	5
9	-1537563652	10	1	10	50
11	-1537563559	10	5	1	10
13	-1537563465	10	5	5	5
15	-1537562434	10	5	5	50
17	-1537559918	10	5	10	10
19	-1537559543	10	10	1	5
21	-1537557402	10	10	1	50
23	-1537557277	10	10	5	10
25	-1537556808	10	10	10	5
27	-1537556715	10	10	10	50
29	-1537554277	10	15	1	10
31	-1537552871	10	15	5	5
33	-1537551245	10	15	5	50
35	-1537549917	10	15	10	10
37	-1537543745	10	20	1	5
39	-1537541417	10	20	1	50
41	-1537533135	10	20	5	10
43	-1537532823	10	20	10	5
45	-1537532698	10	20	10	50
47	-1537531791	50	1	1	10
49	-1537531729	50	1	5	5
51	-1537530291	50	1	5	50
53	-1537528572	50	1	10	10
55	-1537523056	50	5	1	5
57	-1537520603	50	5	1	50
59	-1537519634	50	5	5	10
61	-1537517244	50	5	10	5
63	-1537514306	50	5	10	50
65	-1537514197	50	10	1	10
67	-1537510446	50	10	5	5
69	-1537504555	50	10	5	50
71	-1537504180	50	10	10	10
73	-1537501618	50	15	1	5
75	-1537501540	50	15	1	50
77	-1537500915	50	15	5	10
79	-1537500805	50	15	10	5
81	-1537500711	50	15	10	50
83	-1537497805	50	20	1	10
85	-1537497711	50	20	5	5
87	-1537491523	50	20	5	50
89	-1537491430	50	20	10	10
91	-1537482551	100	1	1	5
93	-1537479332	100	1	1	50
95	-1537479051	100	1	5	10
97	-1537478254	100	1	10	5
99	-1537462987	100	1	10	50
101	-1537462206	100	5	1	10
103	-1537462144	100	5	5	5
105	-1537460815	100	5	5	50
107	-1537459847	100	5	10	10
109	-1537459190	100	10	1	5
111	-1537459003	100	10	1	50
113	-1537458206	100	10	5	10
115	-1537449502	100	10	10	5
117	-1537449018	100	10	10	50
119	-1537448877	100	15	1	10
121	-1537448143	100	15	5	5
123	-1537445768	100	15	5	50
125	-1537443424	100	15	10	10
127	-1537437111	100	20	1	5
129	-1537436642	100	20	1	50
131	-1537434267	100	20	5	10
133	-1537434189	100	20	10	5
135	-1537418766	100	20	10	50
137	-1537415907	10	1	1	10
139	-1537413203	10	1	5	5
141	-1537412141	10	1	5	50
143	-1537410656	10	1	10	10
145	-1537406406	10	5	1	5
147	-1537406328	10	5	1	50
149	-1537406219	10	5	5	10
151	-1537394843	10	5	10	5
153	-1537393156	10	5	10	50
155	-1537393093	10	10	1	10
157	-1537390750	10	10	5	5
159	-1537390671	10	10	5	50
161	-1537390281	10	10	10	10
163	-1537389203	10	15	1	5
165	-1537385234	10	15	1	50
167	-1537384890	10	15	5	10
169	-1537384781	10	15	10	5
171	-1537384312	10	15	10	50
173	-1537382156	10	20	1	10
175	-1537380156	10	20	5	5
177	-1537379906	10	20	5	50
179	-1537379687	10	20	10	10
181	-1537379577	50	1	1	5
183	-1537379484	50	1	1	50
185	-1537376702	50	1	5	10
187	-1537372780	50	1	10	5
189	-1537369452	50	1	10	50
191	-1537369327	50	5	1	10
193	-1537369265	50	5	5	5
195	-1537368405	50	5	5	50
197	-1537366624	50	5	10	10
199	-1537363999	50	10	1	5
