"run","tick","HumanitySaved"
1,129.0,"true"
3,2492.0,"false"
5,262.0,"true"
7,2701.0,"false"
9,153.0,"true"
11,167.0,"true"
13,1110.0,"true"
15,1675.0,"false"
17,537.0,"true"
19,1548.0,"true"
21,229.0,"true"
23,733.0,"true"
25,191.0,"true"
27,2385.0,"false"
29,1284.0,"true"
31,1600.0,"false"
33,1135.0,"true"
35,1945.0,"true"
37,1657.0,"false"
39,1769.0,"true"
41,427.0,"true"
43,190.0,"true"
45,905.0,"true"
47,119.0,"true"
49,1134.0,"true"
51,1470.0,"false"
53,2051.0,"false"
55,1687.0,"false"
57,941.0,"true"
59,1630.0,"false"
61,1800.0,"false"
63,165.0,"true"
65,1565.0,"true"
67,4361.0,"false"
69,518.0,"true"
71,1203.0,"true"
73,119.0,"true"
75,860.0,"true"
77,207.0,"true"
79,169.0,"true"
81,2699.0,"false"
83,176.0,"true"
85,3986.0,"false"
87,200.0,"true"
89,1772.0,"true"
91,1545.0,"true"
93,490.0,"true"
95,967.0,"true"
97,2357.0,"true"
99,917.0,"true"
101,114.0,"true"
103,1221.0,"true"
105,1072.0,"true"
107,766.0,"true"
109,383.0,"true"
111,1131.0,"true"
113,1936.0,"true"
115,780.0,"true"
117,255.0,"true"
119,840.0,"true"
121,1417.0,"true"
123,1406.0,"true"
125,4438.0,"false"
127,600.0,"true"
129,1975.0,"false"
131,135.0,"true"
133,2277.0,"true"
135,2763.0,"false"
137,1429.0,"true"
139,1061.0,"true"
141,1567.0,"false"
143,1411.0,"true"
145,157.0,"true"
147,221.0,"true"
149,2250.0,"true"
151,1748.0,"false"
153,135.0,"true"
155,1516.0,"true"
157,172.0,"true"
159,622.0,"true"
161,1134.0,"true"
163,1658.0,"true"
165,590.0,"true"
167,227.0,"true"
169,633.0,"true"
171,2041.0,"false"
173,1342.0,"true"
175,444.0,"true"
177,426.0,"true"
179,225.0,"true"
181,150.0,"true"
183,1586.0,"true"
185,1886.0,"false"
187,2409.0,"false"
189,223.0,"true"
191,107.0,"true"
193,823.0,"true"
195,1540.0,"true"
197,1906.0,"false"
199,2910.0,"false"
201,2521.0,"false"
203,2520.0,"true"
205,120.0,"true"
207,114.0,"true"
209,1346.0,"true"
211,1229.0,"true"
213,1920.0,"true"
215,2757.0,"false"
217,566.0,"true"
219,848.0,"true"
221,662.0,"true"
223,1016.0,"true"
225,607.0,"true"
227,182.0,"true"
229,759.0,"true"
231,783.0,"true"
233,503.0,"true"
235,708.0,"true"
237,1743.0,"false"
239,131.0,"true"
241,40.0,"true"
243,1354.0,"true"
245,1060.0,"true"
247,3011.0,"false"
249,472.0,"true"
251,4368.0,"false"
253,1682.0,"true"
255,1780.0,"true"
257,1065.0,"true"
259,3245.0,"false"
261,1299.0,"true"
263,2092.0,"false"
265,1886.0,"false"
267,1920.0,"false"
269,165.0,"true"
271,1426.0,"true"
273,1236.0,"true"
275,1189.0,"true"
277,1273.0,"true"
279,191.0,"true"
281,176.0,"true"
283,2228.0,"false"
285,488.0,"true"
287,1524.0,"true"
289,1596.0,"true"
291,374.0,"true"
293,1706.0,"true"
295,205.0,"true"
297,114.0,"true"
299,209.0,"true"
301,2405.0,"false"
303,1440.0,"true"
305,225.0,"true"
307,149.0,"true"
309,131.0,"true"
311,1097.0,"true"
313,205.0,"true"
315,1191.0,"true"
317,76.0,"true"
319,1832.0,"false"
321,1416.0,"true"
323,776.0,"true"
325,1141.0,"true"
327,131.0,"true"
329,1009.0,"true"
331,1291.0,"true"
333,1195.0,"true"
335,1473.0,"true"
337,1359.0,"true"
339,2348.0,"true"
341,1540.0,"true"
343,1780.0,"true"
345,1847.0,"true"
347,195.0,"true"
349,2417.0,"true"
351,85.0,"true"
353,197.0,"true"
355,1768.0,"false"
357,186.0,"true"
359,1354.0,"true"
361,1495.0,"false"
363,1210.0,"true"
365,3506.0,"true"
367,774.0,"true"
369,167.0,"true"
371,1807.0,"false"
373,142.0,"true"
375,2368.0,"false"
377,210.0,"true"
379,1814.0,"true"
381,1813.0,"true"
383,253.0,"true"
385,1315.0,"true"
387,217.0,"true"
389,6061.0,"false"
391,1624.0,"false"
393,5606.0,"false"
395,2755.0,"false"
397,1431.0,"true"
399,307.0,"true"
401,259.0,"true"
403,530.0,"true"
405,1598.0,"false"
407,594.0,"true"
409,124.0,"true"
411,267.0,"true"
413,221.0,"true"
415,1929.0,"true"
417,1180.0,"true"
419,163.0,"true"
421,7004.0,"false"
423,1176.0,"true"
425,1019.0,"true"
427,142.0,"true"
429,1827.0,"true"
431,1236.0,"true"
433,1927.0,"true"
435,1138.0,"true"
437,1428.0,"false"
439,2092.0,"false"
441,1069.0,"true"
443,1068.0,"true"
445,1757.0,"false"
447,329.0,"true"
449,64.0,"true"
451,720.0,"true"
453,498.0,"true"
455,2103.0,"false"
457,445.0,"true"
459,157.0,"true"
461,744.0,"true"
463,2160.0,"true"
465,2665.0,"false"
467,1011.0,"true"
469,2119.0,"false"
471,169.0,"true"
473,740.0,"true"
475,2087.0,"false"
477,2578.0,"true"
479,175.0,"true"
481,125.0,"true"
483,834.0,"true"
485,851.0,"true"
487,231.0,"true"
489,1916.0,"true"
491,150.0,"true"
493,1313.0,"true"
495,2043.0,"false"
497,4931.0,"false"
499,1028.0,"true"
501,244.0,"true"
503,837.0,"true"
505,160.0,"true"
507,143.0,"true"
509,1759.0,"false"
511,191.0,"true"
513,2609.0,"true"
515,238.0,"true"
517,262.0,"true"
519,899.0,"true"
521,1365.0,"false"
523,717.0,"true"
525,78.0,"true"
527,444.0,"true"
529,117.0,"true"
531,1532.0,"true"
533,1248.0,"true"
535,1849.0,"false"
537,1097.0,"true"
539,792.0,"true"
541,1006.0,"true"
543,168.0,"true"
545,733.0,"true"
547,315.0,"true"
549,1619.0,"false"
551,147.0,"true"
553,1964.0,"false"
555,1706.0,"true"
557,2161.0,"false"
559,116.0,"true"
561,670.0,"true"
563,115.0,"true"
565,2061.0,"false"
567,137.0,"true"
569,172.0,"true"
571,1048.0,"true"
573,187.0,"true"
575,1232.0,"false"
577,751.0,"true"
579,117.0,"true"
581,1930.0,"true"
583,1447.0,"true"
585,2052.0,"false"
587,1456.0,"true"
589,2104.0,"false"
591,171.0,"true"
593,135.0,"true"
595,110.0,"true"
597,1706.0,"false"
599,978.0,"true"
601,2028.0,"false"
603,619.0,"true"
605,1602.0,"false"
607,954.0,"true"
609,1914.0,"false"
611,221.0,"true"
613,210.0,"true"
615,1304.0,"true"
617,2589.0,"false"
619,642.0,"true"
621,876.0,"true"
623,3287.0,"false"
625,2118.0,"false"
627,1813.0,"false"
629,384.0,"true"
631,1628.0,"false"
633,2193.0,"false"
635,2025.0,"true"
637,1495.0,"false"
639,145.0,"true"
641,196.0,"true"
643,114.0,"true"
645,2028.0,"true"
647,224.0,"true"
649,1740.0,"true"
651,672.0,"true"
653,971.0,"true"
655,1992.0,"false"
657,2432.0,"false"
659,2185.0,"false"
661,231.0,"true"
663,1867.0,"false"
665,1134.0,"true"
667,2008.0,"false"
669,2110.0,"false"
671,1249.0,"true"
673,265.0,"true"
675,2377.0,"false"
677,2712.0,"false"
679,881.0,"true"
681,499.0,"true"
683,2498.0,"false"
685,763.0,"true"
687,647.0,"true"
689,2647.0,"true"
691,161.0,"true"
693,1468.0,"true"
695,339.0,"true"
697,2611.0,"false"
699,669.0,"true"
701,1042.0,"true"
703,706.0,"true"
705,398.0,"true"
707,639.0,"true"
709,178.0,"true"
711,843.0,"true"
713,1607.0,"true"
715,250.0,"true"
717,614.0,"true"
719,1745.0,"false"
721,2011.0,"false"
723,178.0,"true"
725,161.0,"true"
727,1872.0,"true"
729,153.0,"true"
731,1735.0,"true"
733,1760.0,"true"
735,223.0,"true"
737,1920.0,"true"
739,572.0,"true"
741,1159.0,"true"
743,1689.0,"true"
745,213.0,"true"
747,1635.0,"false"
749,136.0,"true"
751,1603.0,"false"
753,131.0,"true"
755,1085.0,"true"
757,1738.0,"false"
759,322.0,"true"
761,3769.0,"false"
763,1350.0,"true"
765,1626.0,"true"
767,1835.0,"true"
769,248.0,"true"
771,1985.0,"true"
773,1513.0,"true"
775,870.0,"true"
777,170.0,"true"
779,1732.0,"true"
781,2255.0,"true"
783,213.0,"true"
785,1598.0,"true"
787,141.0,"true"
789,153.0,"true"
791,1455.0,"false"
793,494.0,"true"
795,1173.0,"true"
797,228.0,"true"
799,2559.0,"false"
801,384.0,"true"
803,246.0,"true"
805,162.0,"true"
807,1307.0,"false"
809,1642.0,"false"
811,122.0,"true"
813,1728.0,"false"
815,369.0,"true"
817,1527.0,"true"
819,404.0,"true"
821,1605.0,"false"
823,2027.0,"false"
825,137.0,"true"
827,1849.0,"false"
829,193.0,"true"
831,499.0,"true"
833,1639.0,"false"
835,119.0,"true"
837,138.0,"true"
839,114.0,"true"
841,166.0,"true"
843,1242.0,"true"
845,1292.0,"true"
847,2103.0,"true"
849,698.0,"true"
851,2571.0,"false"
853,1336.0,"true"
855,2210.0,"false"
857,1544.0,"true"
859,997.0,"true"
861,1186.0,"true"
863,93.0,"true"
865,2609.0,"true"
867,345.0,"true"
869,1183.0,"true"
871,3363.0,"false"
873,2535.0,"false"
875,2691.0,"false"
877,1694.0,"true"
879,500.0,"true"
881,183.0,"true"
883,395.0,"true"
885,183.0,"true"
887,704.0,"true"
889,1694.0,"false"
891,237.0,"true"
893,112.0,"true"
895,1663.0,"true"
897,2373.0,"false"
899,258.0,"true"
901,1104.0,"true"
903,163.0,"true"
905,1801.0,"false"
907,1087.0,"true"
909,1386.0,"true"
911,1410.0,"true"
913,1593.0,"true"
915,55.0,"true"
917,1690.0,"true"
919,985.0,"true"
921,1904.0,"false"
923,2783.0,"false"
925,246.0,"true"
927,2429.0,"true"
929,203.0,"true"
931,575.0,"true"
933,95.0,"true"
